id,code,title,description,version,is_active,created_at
9a08a98a-297b-4867-8e33-040369252927,psychological_profile_v1,Психологический опросник,Опросник из 90 вопросов. Направления подсчёта обычных вопросов требуют подтверждения.,1,True,2026-07-27T11:06:45.679637+00:00
630f5670-be31-4830-a3fd-052d123fcce7,v1,Комплексный психосоциальный опросник,"Опросник для оценки семейных отношений, поведения в конфликтах, социально-психологической адаптации, перфекционизма, безнадежности, мотивации достижения, тревоги, депрессивных признаков и суицидального риска. Шкала ответов: 1 — полностью не согласен; 2 — скорее не согласен; 3 — отчасти согласен; 4 — скорее согласен; 5 — полностью согласен.",1,True,2026-07-31T07:33:12.946933+00:00
